customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
XXXX-13343-XX,Female,Yes,No,No,29,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,109.39,4580.6,No
XXXX-13373-XX,Female,Yes,Yes,No,35,No,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,52.19,7778.33,Yes
XXXX-13420-XX,Male,Yes,No,No,52,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,55.04,4213.65,No
XXXX-13436-XX,Male,No,No,Yes,79,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,64.41,1709.81,Yes
XXXX-13561-XX,Male,Yes,Yes,No,35,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,94.1,3153.97,Yes
XXXX-13596-XX,Male,Yes,Yes,No,58,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.48,369.97,No
XXXX-13709-XX,Male,Yes,Yes,Yes,39,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,92.18,8927.5,No
XXXX-13748-XX,Male,Yes,No,Yes,45,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,One year,No,Electronic check,83.29,3915.38,No
XXXX-13812-XX,Female,No,No,Yes,53,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,20.14,4684.69,Yes
XXXX-13890-XX,Female,Yes,Yes,No,25,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,One year,No,Electronic check,99.83,6817.81,Yes
XXXX-13987-XX,Female,No,No,No,77,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,73.95,3113.63,No
XXXX-14000-XX,Male,Yes,Yes,Yes,61,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,49.45,7264.3,No
XXXX-14014-XX,Female,No,No,Yes,65,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,95.36,5705.3,No
XXXX-14158-XX,Female,Yes,No,No,66,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,59.87,8337.18,Yes
XXXX-14324-XX,Female,No,Yes,Yes,49,No,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No,One year,No,Mailed check,105.67,6806.02,No
XXXX-14432-XX,Female,No,No,Yes,58,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,One year,No,Credit card,113.72,3618.28,No
XXXX-14499-XX,Male,No,Yes,Yes,22,No,No phone service,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,79.63,5421.21,No
XXXX-14611-XX,Female,Yes,No,Yes,38,No,No,No,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,53.03,3553.05,No
XXXX-14621-XX,Female,Yes,No,No,2,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,105.34,1863.21,No
XXXX-14632-XX,Female,Yes,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,117.44,2457.93,No
XXXX-14748-XX,Male,Yes,Yes,No,18,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Bank transfer,118.59,3648.19,Yes
XXXX-14809-XX,Female,Yes,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,105.52,1250.87,No
XXXX-14835-XX,Female,No,No,No,65,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,52.16,5543.36,Yes
XXXX-15122-XX,Female,No,Yes,Yes,9,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,35.31,4985.72,No
XXXX-15126-XX,Male,Yes,Yes,No,68,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,One year,No,Mailed check,40.1,7237.69,Yes
XXXX-15237-XX,Female,Yes,No,Yes,50,No,No phone service,No,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,40.84,8220.95,No
XXXX-15240-XX,Male,Yes,No,No,34,No,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,54.39,5628.17,Yes
XXXX-15258-XX,Female,Yes,Yes,Yes,64,No,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,21.1,2422.26,No
XXXX-15287-XX,Male,Yes,Yes,No,52,Yes,Yes,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer,78.11,8175.03,Yes
XXXX-15311-XX,Female,Yes,Yes,No,24,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,92.29,4904.17,No
XXXX-15415-XX,Male,Yes,Yes,Yes,57,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,112.65,6208.63,No
XXXX-15486-XX,Male,Yes,No,Yes,24,No,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,100.72,927.67,Yes
XXXX-15530-XX,Female,No,Yes,No,18,No,No phone service,No,No internet service,No internet service,No,Yes,No,No internet service,One year,No,Mailed check,46.91,4602.16,No
XXXX-15539-XX,Female,No,Yes,Yes,69,Yes,No,No,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,107.73,2640.57,Yes
XXXX-15569-XX,Female,Yes,Yes,Yes,32,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,49.57,4623.9,Yes
XXXX-15600-XX,Male,No,No,No,19,No,No,No,Yes,Yes,No internet service,No,Yes,No internet service,Two year,No,Electronic check,29.69,1031.21,Yes
XXXX-15713-XX,Male,Yes,No,No,47,No,No,No,No,No internet service,Yes,No,Yes,No internet service,One year,No,Credit card,119.67,7179.39,No
XXXX-15801-XX,Female,No,Yes,Yes,19,No,Yes,DSL,No,No,No internet service,Yes,No,No,One year,No,Bank transfer,111.59,8207.55,No
XXXX-15895-XX,Male,No,Yes,Yes,63,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Credit card,79.5,3896.69,Yes
XXXX-15949-XX,Female,Yes,Yes,Yes,28,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,One year,No,Mailed check,65.37,5069.3,Yes
XXXX-15951-XX,Female,Yes,Yes,Yes,49,No,Yes,No,Yes,No internet service,Yes,Yes,No,Yes,Two year,No,Electronic check,63.79,1465.21,Yes
XXXX-16090-XX,Female,No,No,No,78,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.3,1014.52,Yes
XXXX-16102-XX,Female,Yes,No,No,4,Yes,No,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,18.45,7697.23,No
XXXX-16168-XX,Female,No,No,Yes,4,No,Yes,DSL,No internet service,No internet service,No,No internet service,No,No internet service,One year,Yes,Mailed check,60.58,7633.16,Yes
XXXX-16229-XX,Male,Yes,No,Yes,54,No,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer,88.57,7987.87,Yes
XXXX-16254-XX,Male,Yes,Yes,Yes,62,No,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,One year,Yes,Mailed check,101.43,8400.66,Yes
XXXX-16265-XX,Male,No,No,No,3,No,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Two year,No,Credit card,58.58,1587.42,Yes
XXXX-16295-XX,Male,Yes,No,No,38,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,No,Electronic check,101.31,6051.35,No
XXXX-16371-XX,Male,No,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,61.85,7081.06,Yes
XXXX-16469-XX,Male,No,Yes,No,35,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,No,Two year,No,Mailed check,104.41,268.12,Yes
XXXX-16655-XX,Male,Yes,No,Yes,57,Yes,Yes,No,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Credit card,101.39,4073,Yes
XXXX-16776-XX,Male,Yes,Yes,No,3,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,77.55,3732.48,Yes
XXXX-16801-XX,Female,Yes,Yes,No,79,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Credit card,57.27,2510.83,No
XXXX-16893-XX,Male,Yes,Yes,No,64,No,Yes,No,No internet service,No internet service,No,No,Yes,No,One year,Yes,Electronic check,114.37,6164.2,Yes
XXXX-16910-XX,Male,Yes,No,Yes,19,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,96.69,1593.07,No
XXXX-16941-XX,Male,Yes,No,Yes,37,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,31.52,6072.76,Yes
XXXX-16949-XX,Male,No,Yes,No,17,Yes,No phone service,DSL,No,Yes,No internet service,No,No,Yes,One year,Yes,Credit card,106.95,8572.74,No
XXXX-16970-XX,Male,No,No,No,77,No,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card,30.96,5135.98,No
XXXX-17114-XX,Female,No,No,No,25,No,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,No,Mailed check,34.75,6564.82,No
XXXX-17239-XX,Male,Yes,No,Yes,20,No,No phone service,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,23.32,8418.55,Yes
XXXX-17357-XX,Male,Yes,No,No,6,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,61.24,925.98,No
XXXX-17392-XX,Male,No,No,Yes,68,No,No,No,No internet service,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,90.46,4590.84,No
XXXX-17400-XX,Female,Yes,No,No,65,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card,75.47,8371.46,No
XXXX-17543-XX,Male,Yes,No,No,55,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card,103.51,30.81,No
XXXX-17561-XX,Female,Yes,No,No,50,No,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,89.58,7777.52,No
XXXX-17805-XX,Female,No,No,Yes,21,Yes,No,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,73.59,5537.4,No
XXXX-18007-XX,Male,No,Yes,Yes,31,No,Yes,No,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,115.9,5098.54,Yes
XXXX-18110-XX,Male,Yes,No,Yes,33,No,No,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,88.19,941.21,No
XXXX-18155-XX,Male,Yes,Yes,Yes,30,No,No,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,109.98,4824.96,Yes
XXXX-18308-XX,Male,Yes,Yes,No,1,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,117.9,7981.05,No
XXXX-18335-XX,Male,No,No,Yes,54,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,One year,No,Bank transfer,29.12,7221.25,Yes
XXXX-18392-XX,Female,No,No,Yes,65,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card,91.69,8309.83,Yes
XXXX-18415-XX,Female,Yes,No,No,78,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Mailed check,68.33,8135.64,No
XXXX-18512-XX,Female,Yes,No,Yes,34,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Electronic check,35.87,75.04,No
XXXX-18567-XX,Female,Yes,No,Yes,28,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,Yes,Bank transfer,84.74,8769.37,Yes
XXXX-18571-XX,Female,No,Yes,Yes,3,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,107.25,2372.54,Yes
XXXX-18680-XX,Female,Yes,No,No,38,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card,96.88,1038.58,Yes
XXXX-18702-XX,Female,No,Yes,No,59,No,No,No,No,Yes,No,Yes,No internet service,No,One year,Yes,Electronic check,90.28,4223.19,No
XXXX-18716-XX,Male,Yes,Yes,Yes,7,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,61.39,2830.25,No
XXXX-18717-XX,Male,Yes,No,Yes,23,No,No phone service,No,Yes,No,Yes,No internet service,No internet service,No,Two year,No,Bank transfer,81.69,696.69,No
XXXX-18792-XX,Female,No,Yes,Yes,32,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Two year,Yes,Electronic check,35.04,1132.45,No
XXXX-19111-XX,Female,Yes,No,No,58,No,Yes,No,No,No,No internet service,No,No,Yes,One year,Yes,Credit card,102.28,2804,No
XXXX-19268-XX,Male,No,Yes,No,10,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,Yes,Two year,No,Credit card,50.08,1694.87,Yes
XXXX-19337-XX,Female,Yes,No,No,79,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.54,6151.16,Yes
XXXX-19348-XX,Male,No,Yes,Yes,21,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer,99.29,302.49,No
XXXX-19435-XX,Female,No,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card,26.28,6864.83,No
XXXX-19474-XX,Female,No,No,Yes,14,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card,119,6432.81,Yes
XXXX-19540-XX,Female,Yes,Yes,No,49,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,34.88,6654.67,Yes
XXXX-19662-XX,Male,No,No,Yes,44,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card,35.78,7894.19,No
XXXX-19692-XX,Male,Yes,No,Yes,43,Yes,No phone service,No,No,No,No,No internet service,No internet service,No,Two year,No,Bank transfer,31.39,235.17,Yes
XXXX-19823-XX,Male,Yes,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card,57.69,7680.94,No
XXXX-19860-XX,Female,Yes,No,Yes,78,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,One year,No,Credit card,101.03,8054.5,Yes
XXXX-19865-XX,Male,Yes,Yes,No,55,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,No,Bank transfer,72.28,857.48,Yes
XXXX-20267-XX,Male,No,Yes,No,47,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Two year,No,Bank transfer,48.17,980.19,No
XXXX-20478-XX,Male,No,No,Yes,15,Yes,Yes,No,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,95.33,1973.01,No
XXXX-20488-XX,Female,No,No,No,73,No,No phone service,No,No,No,No internet service,No,No internet service,No internet service,One year,No,Electronic check,30.24,1886.84,No
XXXX-20492-XX,Female,Yes,Yes,Yes,5,No,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer,58.06,5912.22,Yes
XXXX-20627-XX,Female,No,Yes,Yes,53,Yes,No,No,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,113.59,3944.96,Yes
XXXX-20647-XX,Female,Yes,Yes,No,56,No,Yes,No,No,Yes,No,Yes,No,No,Two year,Yes,Credit card,38.33,8109.79,Yes
XXXX-20729-XX,Male,No,No,No,53,No,No,DSL,Yes,Yes,No,No internet service,Yes,No internet service,Two year,No,Mailed check,53.65,2548.35,Yes
XXXX-20916-XX,Male,Yes,Yes,Yes,57,No,No phone service,DSL,No,Yes,No internet service,Yes,No,No,One year,No,Credit card,72.4,274,No
XXXX-20954-XX,Female,Yes,Yes,No,65,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card,115.31,8040.39,No
XXXX-20965-XX,Male,Yes,Yes,No,8,Yes,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Credit card,34.55,3142.09,Yes
XXXX-20966-XX,Male,No,No,Yes,48,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,43.9,3253.86,Yes
XXXX-20975-XX,Male,Yes,No,No,24,No,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,69.26,3589.14,No
XXXX-21023-XX,Male,Yes,Yes,No,53,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Bank transfer,45.66,1909.58,No
XXXX-21093-XX,Male,No,No,Yes,46,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,55.92,470.91,No
XXXX-21111-XX,Male,Yes,No,No,71,Yes,No phone service,DSL,Yes,No,No,No,Yes,No internet service,One year,Yes,Electronic check,74.48,6017.38,No
XXXX-21130-XX,Female,No,Yes,Yes,54,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,No,Electronic check,90.94,7405.35,No
XXXX-21174-XX,Male,Yes,No,No,34,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer,48.02,3843.34,No
XXXX-21314-XX,Female,No,Yes,Yes,76,Yes,No phone service,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,19.25,7688.93,No
XXXX-21338-XX,Male,No,No,No,36,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Credit card,95.16,5333.19,No
XXXX-21394-XX,Male,Yes,Yes,Yes,30,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,One year,No,Mailed check,31.6,2981.75,Yes
XXXX-21411-XX,Male,No,No,Yes,50,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,107.17,495.7,No
XXXX-21534-XX,Female,No,No,Yes,69,No,Yes,DSL,No internet service,No internet service,No,No,No,No internet service,One year,Yes,Bank transfer,57.99,2614.45,Yes
XXXX-21637-XX,Female,Yes,Yes,No,4,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,64.31,3185.23,No
XXXX-21938-XX,Female,No,No,No,49,No,Yes,No,No,No,Yes,No,No,No,One year,No,Electronic check,45.61,6894.18,No
XXXX-22015-XX,Female,Yes,Yes,Yes,0,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,62.51,1319,No
XXXX-22161-XX,Male,Yes,No,Yes,58,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,22.29,2905.74,No
XXXX-22183-XX,Female,No,Yes,Yes,33,No,No phone service,DSL,No internet service,Yes,No,Yes,No,No,One year,Yes,Bank transfer,44.77,4400.57,Yes
XXXX-22185-XX,Male,No,No,No,18,No,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer,102.28,7859.86,No
XXXX-22219-XX,Male,No,No,Yes,48,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer,107.11,6242.32,Yes
XXXX-22666-XX,Female,Yes,No,Yes,36,Yes,No,No,No,Yes,No,No internet service,No,No internet service,One year,No,Electronic check,94.89,7104.78,Yes
XXXX-22688-XX,Female,No,No,No,39,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card,58.95,678.78,No
